ring_id,vertex_id,x,y
0,0,46751.7587389972,4214.49164796372
0,1,45731.3450894193,12144.7618777328
0,2,44496.5152368351,13767.8410793207
0,3,44357.8240277989,16737.0546413566
0,4,37851.8873872743,28331.0108512714
0,5,32045.7865151676,34508.0983714983
0,6,29907.452994349,35527.2561401513
0,7,28288.7565592975,38378.4944814675
0,8,25785.0965879306,38687.675491071
0,9,25176.0756431525,40420.0634347385
0,10,22275.9888730078,40693.6882340183
0,11,21498.033021078,42207.6479523022
0,12,7750.51231124156,46723.9958715912
0,13,-2413.7919538319,46907.0406408721
0,14,-8017.85097894421,46350.9592465831
0,15,-16992.7697975867,44157.2883051584
0,16,-22645.5492843995,41046.6746127719
0,17,-31071.524163936,35841.2724379471
0,18,-32477.7204893473,33439.2345120998
0,19,-34883.7411785374,32104.7634296403
0,20,-40434.4807738719,23965.1508002956
0,21,-45435.1683705924,13635.8442023639
0,22,-45282.9873374933,11524.804692039
0,23,-46782.4006013394,6871.60282375949
0,24,-46664.4488313803,1841.09325448226
0,25,-47380.2831798676,-174.543825187226
0,26,-46402.4712028495,-5413.56334089916
0,27,-46830.490041826,-8246.96564923082
0,28,-45386.1023188025,-10024.6905868589
0,29,-45695.4075753476,-12843.805624494
0,30,-43214.1950779796,-17446.4623122034
0,31,-43069.4259597191,-20116.44501649
0,32,-39835.254396099,-24213.5755788548
0,33,-38587.9638322854,-27588.7493013931
0,34,-36071.4103753999,-29477.4737895369
0,35,-34249.7128450212,-32882.7940968983
0,36,-29044.9595942235,-36513.6227804686
0,37,-27560.4309580142,-38684.6781891404
0,38,-24651.3263300237,-39693.8479769228
0,39,-17974.9651398921,-43945.9776502108
0,40,-17421.1395891163,-43220.5591390435
0,41,-14342.5968826351,-45143.4401425675
0,42,-947.957201089654,-47210.8954691804
0,43,11646.4881632081,-45958.8871900571
0,44,13712.2526773582,-44719.6679789188
0,45,20729.3604956377,-42562.4084904948
0,46,25532.8484713252,-39168.5792060375
0,47,26670.888581954,-39461.6556429778
0,48,27750.3905782122,-37442.327873507
0,49,30426.1936188413,-36532.1430215139
0,50,30802.5028452366,-34833.2317318756
0,51,33147.7087185939,-34018.1760043632
0,52,35936.538887333,-29720.2953820664
0,53,38718.9613447365,-27575.8125542655
0,54,40164.8555979711,-23517.5711435166
0,55,42819.8745255107,-19966.6112475655
0,56,45004.7711662326,-13358.7879787296
0,57,47131.6081258439,-4836.95515886494
1,0,21194.3895595361,-1222.059389942
1,1,19085.4309352098,-2612.71919671619
1,2,15651.1049479326,-6096.85331902832
1,3,13000.6793687454,-3985.45410786342
1,4,9745.30102881807,-3120.47584990047
1,5,9568.06328299438,81.6402315831925
1,6,11295.1229044214,450.730884219583
1,7,10201.030488229,2889.72075628156
1,8,11218.6119694146,5189.47743615327
1,9,14856.2823914546,3894.02718879919
1,10,16111.0922214705,5352.42036697073
1,11,18308.7495062104,5414.88982798411
1,12,19334.3412514952,1101.58630166635
2,0,-1202.7936591714,13681.1451599533
2,1,-4104.21659727056,11275.4496287009
2,2,-3357.67084915224,10149.8645505594
2,3,-3938.75168423388,7521.65978631206
2,4,-9927.67079820623,8913.00209322035
2,5,-9919.17652425203,7743.46947030144
2,6,-12411.2503701037,9334.14905019472
2,7,-11192.5118436811,12266.2701661915
2,8,-12836.2172562155,13044.0621330327
2,9,-13347.2511583419,15957.995218135
2,10,-9125.88075580638,16444.4399784225
2,11,-9447.41188641458,18807.6077317783
2,12,-5547.63854337139,18302.9886682649
2,13,-5257.36370332592,16137.4761772989
2,14,-2336.03712995024,15650.3378051471
3,0,-3438.10061248921,-13327.7899761734
3,1,-2186.49949143032,-17577.5676079506
3,2,-5751.64810199659,-16265.4415282709
3,3,-5825.75760212243,-18922.8201696825
3,4,-12514.7134242386,-16410.9212785201
3,5,-11303.3103590007,-13853.4067321117
3,6,-13397.3584213542,-12964.130535149
3,7,-12792.0432250438,-10653.3120817719
3,8,-10654.5557936322,-10949.3284798411
3,9,-11194.3311642484,-8482.00203614408
3,10,-4292.4845523065,-7545.73328994454
3,11,-4393.31927071795,-9205.30881960475
3,12,-1632.20256323294,-12053.8396324964
Total signed area in input: 6.687993e+09
Total signed area in output: 6.687993e+09
Total areal displacement: 1.409746e+09
